codigo,nombre,apellido,grado,requiere_acompanante,tutor_nombre,tutor_relacion,tutor_telefono
414008230,Miguel,Solano Araya,3ro Primaria,Sí,Pamela Solano,Abuela,73604639
520810050,Adrián,Cordero Zúñiga,11vo Secundaria,No,,,
670697262,Valentina,Aguilar Martínez,4to Primaria,Sí,Sebastián Aguilar,Padre,78429548
111335209,Melissa,Romero Gómez,Pre-Kinder,Sí,Stephanie Romero,Tía,69776781
147773079,Anthony,Vindas Quesada,3ro Primaria,Sí,Rodrigo Vindas,Padre,73991816
287645447,Valeria,Chinchilla Díaz,9no Secundaria,No,,,
444757210,Natalia,Hernández Cordero,6to Primaria,Sí,Fernanda Hernández,Tía,85355901
545713076,Steven,Martínez Vargas,Pre-Kinder,Sí,Anthony Martínez,Tío,86944895
118462814,Natalia,González Quesada,Pre-Kinder,Sí,Gabriela González,Madre,87341499
498679026,Matías,Gómez Corrales,4to Primaria,Sí,Miguel Gómez,Padre,76415535
649773909,Jessica,Corrales Díaz,Kinder,Sí,Tatiana Corrales,Tía,83896153
645158929,Fernanda,Solano Díaz,6to Primaria,Sí,Pablo Solano,Abuelo,71930619
338976771,Mauricio,Vindas Monge,3ro Primaria,Sí,Daniela Vindas,Abuela,87723467
219864427,Natalia,Flores Medina,4to Primaria,Sí,Daniel Flores,Abuelo,61242804
415780332,Carlos,Vindas Jiménez,10mo Secundaria,No,,,
358733637,Tatiana,Araya Morales,7mo Secundaria,No,,,
433710868,Sofía,Zúñiga Esquivel,7mo Secundaria,No,,,
237825113,Lucía,Fernández Sánchez,Kinder,Sí,Ricardo Fernández,Tío,61776494
694211595,Luis,López Fallas,8vo Secundaria,No,,,
671734524,Carolina,García Fernández,5to Primaria,Sí,Mariela García,Madre,75612207
571175027,Natalia,Gómez Mora,2do Primaria,Sí,Priscilla Gómez,Abuela,65607627
570142009,José,Torres Vindas,5to Primaria,Sí,Alejandra Torres,Tía,68192949
473385107,Stephanie,Rojas Ramírez,5to Primaria,Sí,Andrea Rojas,Tía,83191537
158654298,Melissa,Medina Brenes,9no Secundaria,No,,,
383489342,Santiago,Camacho Rodríguez,Pre-Kinder,Sí,María Camacho,Madre,69892418
144178885,Nicole,Castro Torres,Pre-Kinder,Sí,Melissa Castro,Madre,84216204
733236040,Ricardo,Hernández Sánchez,8vo Secundaria,No,,,
247712514,Valentina,Morales Esquivel,8vo Secundaria,No,,,
736782707,Anthony,Ruiz García,5to Primaria,Sí,Alejandro Ruiz,Padre,62445363
724050536,Lucía,Camacho Zúñiga,8vo Secundaria,No,,,
250859316,Diego,Peña Fallas,5to Primaria,Sí,Jennifer Peña,Madre,79916186
326471165,María,Rojas Rivera,1ro Primaria,Sí,Miguel Rojas,Tío,89529333
732597594,Carlos,Castillo Castillo,6to Primaria,Sí,Adrián Castillo,Tío,69040016
753163488,José,Medina Brenes,1ro Primaria,Sí,Bryan Medina,Tío,84182674
366264752,Jessica,Arias Fallas,9no Secundaria,No,,,
748307056,Carolina,Monge García,3ro Primaria,Sí,Anthony Monge,Abuelo,65261003
350757007,Tatiana,Araya Monge,5to Primaria,Sí,Isabella Araya,Madre,75938022
748327526,Mariela,Chaves Villalobos,11vo Secundaria,No,,,
283423174,Rodrigo,García Calderón,11vo Secundaria,No,,,
329018957,Melissa,Hernández Hernández,7mo Secundaria,No,,,
369679268,Felipe,Montero Cruz,6to Primaria,Sí,Camila Montero,Tía,88396003
273133173,Sofía,Hernández Araya,4to Primaria,Sí,Isabella Hernández,Madre,72988132
163917464,Luis,Monge Brenes,2do Primaria,Sí,Katherine Monge,Madre,61673420
620814851,Ana,Quesada Araya,6to Primaria,Sí,Andrés Quesada,Padre,79756726
675244317,Andrés,Medina Monge,Pre-Kinder,Sí,Gabriela Medina,Tía,89548987
250054650,Miguel,Villalobos Campos,11vo Secundaria,No,,,
131306624,Esteban,Solano Ruiz,2do Primaria,Sí,Natalia Solano,Tía,85713403
571614771,Pamela,Fallas Mora,5to Primaria,Sí,Felipe Fallas,Padre,61328869
467137504,Fernando,Chaves Castillo,10mo Secundaria,No,,,
119230180,Tatiana,Gómez Hernández,6to Primaria,Sí,José Gómez,Abuelo,89909425
142511903,Carlos,Araya Mora,Kinder,Sí,Jessica Araya,Abuela,85693426
361838404,Alejandro,Carvajal Solano,7mo Secundaria,No,,,
576387052,Jessica,Vargas Chinchilla,1ro Primaria,Sí,Melissa Vargas,Madre,72890096
740450504,Carlos,Camacho Carvajal,6to Primaria,Sí,Daniel Camacho,Padre,76166559
382555650,Jennifer,Camacho Quesada,6to Primaria,Sí,Valeria Camacho,Tía,82570453
195997348,Natalia,González Esquivel,8vo Secundaria,No,,,
250478476,Andrea,López Jiménez,Kinder,Sí,Carolina López,Tía,67688477
545065035,Valeria,Cordero Camacho,Pre-Kinder,Sí,Jessica Cordero,Madre,65773747
462461192,Rodrigo,Brenes Vindas,10mo Secundaria,No,,,
399576213,Fernando,Romero Martínez,1ro Primaria,Sí,Carlos Romero,Tío,73411145
735556850,Santiago,Sánchez Quesada,7mo Secundaria,No,,,
482055194,Luis,Martínez Barrantes,10mo Secundaria,No,,,
488427245,Steven,Vargas López,4to Primaria,Sí,Valentina Vargas,Tía,83631163
756342028,Sebastián,Castro Vargas,Pre-Kinder,Sí,Mauricio Castro,Abuelo,84557064
694109641,Kimberly,Fernández Esquivel,10mo Secundaria,No,,,
375984149,Santiago,Jiménez Montero,5to Primaria,Sí,Sebastián Jiménez,Tío,67157883
427401480,Nicole,Gómez Medina,5to Primaria,Sí,José Gómez,Tío,89341805
294160689,Emmanuel,Corrales Gómez,Pre-Kinder,Sí,Carolina Corrales,Madre,68707421
150481670,Rodrigo,Camacho Aguilar,3ro Primaria,Sí,Gabriel Camacho,Tío,82981641
685460892,Ana,Rivera Mora,5to Primaria,Sí,Kevin Rivera,Abuelo,88420591
268985985,Fernando,Esquivel Herrera,2do Primaria,Sí,Christopher Esquivel,Padre,85643930
133242804,Fernando,Solano Quesada,4to Primaria,Sí,Carolina Solano,Abuela,68770197
198487405,Natalia,Castro Morales,11vo Secundaria,No,,,
516493317,Kimberly,Campos Vindas,Pre-Kinder,Sí,María Campos,Abuela,67588650
418410561,Karla,Monge Brenes,Preparatoria,Sí,Mauricio Monge,Padre,79359268
535062313,Emmanuel,Rojas Martínez,1ro Primaria,Sí,Priscilla Rojas,Abuela,67563022
718249821,Nicolás,Rodríguez Torres,7mo Secundaria,No,,,
729135600,Camila,Martínez Herrera,10mo Secundaria,No,,,
779519140,Juan,Chaves Camacho,1ro Primaria,Sí,Sofía Chaves,Tía,69286805
141917604,María,Chaves Chaves,Pre-Kinder,Sí,Sofía Chaves,Tía,65090858
452821247,Melissa,Vindas Flores,2do Primaria,Sí,Valeria Vindas,Madre,82498933
489293830,Anthony,Reyes González,Kinder,Sí,Alejandra Reyes,Madre,81632084
672415284,Camila,Martínez Díaz,Pre-Kinder,Sí,Alejandro Martínez,Abuelo,79974325
766449499,Andrés,Gómez Ramírez,9no Secundaria,No,,,
714173147,Mauricio,Chaves Romero,2do Primaria,Sí,Mauricio Chaves,Padre,69899911
570284379,Jessica,Calderón Medina,Kinder,Sí,Emmanuel Calderón,Tío,79091990
177616469,José,Sánchez Sánchez,6to Primaria,Sí,Kevin Sánchez,Abuelo,89366997
446457329,Nicole,Fernández Aguilar,4to Primaria,Sí,Fernando Fernández,Padre,72060472
234768817,José,Chaves Chaves,11vo Secundaria,No,,,
373292853,Felipe,Díaz Mora,Preparatoria,Sí,Daniela Díaz,Madre,62723310
564088628,Andrea,Ramírez Zúñiga,Pre-Kinder,Sí,Alejandro Ramírez,Abuelo,65286396
571229248,Sebastián,Vargas Castro,10mo Secundaria,No,,,
760058377,Paula,Flores Calderón,10mo Secundaria,No,,,
339641864,Valeria,Fernández Hernández,Pre-Kinder,Sí,Pablo Fernández,Abuelo,71741582
425505391,Nicole,Aguilar Ramírez,5to Primaria,Sí,Tatiana Aguilar,Tía,72335325
691438497,Rodrigo,Solano Brenes,11vo Secundaria,No,,,
571455043,Kimberly,Aguilar Barrantes,3ro Primaria,Sí,Daniela Aguilar,Tía,62685913
736920639,Nicolás,Cruz Camacho,5to Primaria,Sí,Daniel Cruz,Abuelo,63817653
792276814,Valentina,Morales Díaz,Pre-Kinder,Sí,Melissa Morales,Tía,85984699
629032878,Emmanuel,Alfaro Carvajal,Kinder,Sí,Daniel Alfaro,Tío,81239817
